persona_a,persona_b,pair_id,task_type,retain_mechanism,switch_condition,matched_control_condition,n_common_samples,primary_metric_name,primary_switch_value,primary_control_value,primary_gap_abs,scs_metric_name,scs_value,rai_metric_name,rai_value,switch_reaches_target_b,final_type_switch,target_persona_b
ENFJ,ENFP,ENFJ_to_ENFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6759,0.6762,0.0003,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,-0.0332,,,
ENFJ,ENFP,ENFJ_to_ENFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6667,0.0667,scs_lexical_similarity_to_matched_b_control,0.5289,rai_lexical_gap,-0.0853,,,
ENFJ,ENFP,ENFJ_to_ENFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7333,0.0333,scs_lexical_similarity_to_matched_b_control,0.4351,rai_lexical_gap,-0.0221,,,
ENFJ,ISTJ,ENFJ_to_ISTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,1.0,0.75,scs_item_agreement_with_matched_b_control,0.4301,rai_item_agreement_gap,0.4194,False,ENFJ,ISTJ
ENFJ,ISTJ,ENFJ_to_ISTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.914,rai_item_agreement_gap,-0.5914,True,ISTJ,ISTJ
ENFJ,ISTJ,ENFJ_to_ISTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7321,0.7932,0.0611,scs_predicted_agreement_with_matched_b_control,0.3333,mean_rai_margin_a_minus_target,-0.0717,,,
ENFJ,ISTJ,ENFJ_to_ISTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7271,0.7541,0.027,scs_predicted_agreement_with_matched_b_control,0.4667,mean_rai_margin_a_minus_target,-0.0736,,,
ENFJ,ISTJ,ENFJ_to_ISTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6,0.0333,scs_lexical_similarity_to_matched_b_control,0.5313,rai_lexical_gap,-0.0566,,,
ENFJ,ISTJ,ENFJ_to_ISTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7,0.0,scs_lexical_similarity_to_matched_b_control,0.4715,rai_lexical_gap,-0.0363,,,
ENFJ,INTP,ENFJ_to_INTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,0.75,0.5,scs_item_agreement_with_matched_b_control,0.5376,rai_item_agreement_gap,0.3548,False,ENFJ,INTP
ENFJ,INTP,ENFJ_to_INTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.8817,rai_item_agreement_gap,-0.3548,False,INTJ,INTP
ENFJ,INTP,ENFJ_to_INTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7125,0.7412,0.0287,scs_predicted_agreement_with_matched_b_control,0.3667,mean_rai_margin_a_minus_target,-0.0765,,,
ENFJ,INTP,ENFJ_to_INTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7257,0.7356,0.0099,scs_predicted_agreement_with_matched_b_control,0.4333,mean_rai_margin_a_minus_target,-0.1017,,,
ENFJ,INTP,ENFJ_to_INTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6333,0.0333,scs_lexical_similarity_to_matched_b_control,0.5144,rai_lexical_gap,-0.0667,,,
ENFJ,INTP,ENFJ_to_INTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.6333,0.0334,scs_lexical_similarity_to_matched_b_control,0.436,rai_lexical_gap,0.0286,,,
ENFJ,INFP,ENFJ_to_INFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.6452,rai_item_agreement_gap,0.2258,False,ENFJ,INFP
ENFJ,INFP,ENFJ_to_INFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8495,rai_item_agreement_gap,-0.1828,True,INFP,INFP
ENFJ,INFP,ENFJ_to_INFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.732,0.743,0.011,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,0.0417,,,
ENFJ,INFP,ENFJ_to_INFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6945,0.7241,0.0296,scs_predicted_agreement_with_matched_b_control,0.4,mean_rai_margin_a_minus_target,-0.0504,,,
ENFJ,INFP,ENFJ_to_INFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6667,0.0334,scs_lexical_similarity_to_matched_b_control,0.4918,rai_lexical_gap,-0.0346,,,
ENFJ,INFP,ENFJ_to_INFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6,0.6333,0.0333,scs_lexical_similarity_to_matched_b_control,0.4883,rai_lexical_gap,-0.0595,,,
ENFJ,ESFJ,ENFJ_to_ESFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.8495,rai_item_agreement_gap,0.0645,False,ENFJ,ESFJ
ENFJ,ESFJ,ENFJ_to_ESFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8817,rai_item_agreement_gap,-0.0538,True,ESFJ,ESFJ
ENFJ,ESFJ,ENFJ_to_ESFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7353,0.7263,0.009,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,0.0322,,,
ENFJ,ESFJ,ENFJ_to_ESFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7068,0.701,0.0058,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,0.0037,,,
ENFJ,ESFJ,ENFJ_to_ESFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.5667,0.1,scs_lexical_similarity_to_matched_b_control,0.4877,rai_lexical_gap,-0.0359,,,
ENFJ,ESFJ,ENFJ_to_ESFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.7,0.0333,scs_lexical_similarity_to_matched_b_control,0.4746,rai_lexical_gap,-0.0323,,,
ENFJ,ESTJ,ENFJ_to_ESTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.5161,rai_item_agreement_gap,0.3978,False,ENFJ,ESTJ
ENFJ,ESTJ,ENFJ_to_ESTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8387,rai_item_agreement_gap,-0.2688,True,ESTJ,ESTJ
ENFJ,ESTJ,ENFJ_to_ESTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7269,0.7676,0.0407,scs_predicted_agreement_with_matched_b_control,0.1,mean_rai_margin_a_minus_target,0.0266,,,
ENFJ,ESTJ,ENFJ_to_ESTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7169,0.7417,0.0248,scs_predicted_agreement_with_matched_b_control,0.5,mean_rai_margin_a_minus_target,-0.0765,,,
ENFJ,ESTJ,ENFJ_to_ESTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.7,0.0333,scs_lexical_similarity_to_matched_b_control,0.5376,rai_lexical_gap,-0.0761,,,
ENFJ,ESTJ,ENFJ_to_ESTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7333,0.7667,0.0334,scs_lexical_similarity_to_matched_b_control,0.5028,rai_lexical_gap,-0.0525,,,
ISFJ,INTJ,ISFJ_to_INTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.6129,rai_item_agreement_gap,0.3011,False,ISFJ,INTJ
ISFJ,INTJ,ISFJ_to_INTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8817,rai_item_agreement_gap,-0.3118,True,INTJ,INTJ
ISFJ,INTJ,ISFJ_to_INTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.701,0.7631,0.0621,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0494,,,
ISFJ,INTJ,ISFJ_to_INTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7584,0.7487,0.0097,scs_predicted_agreement_with_matched_b_control,0.4667,mean_rai_margin_a_minus_target,-0.0647,,,
ISFJ,INTJ,ISFJ_to_INTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6333,0.0334,scs_lexical_similarity_to_matched_b_control,0.5064,rai_lexical_gap,-0.0188,,,
ISFJ,INTJ,ISFJ_to_INTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6667,0.0333,scs_lexical_similarity_to_matched_b_control,0.479,rai_lexical_gap,-0.0451,,,
ISFJ,ESFP,ISFJ_to_ESFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,0.75,0.25,scs_item_agreement_with_matched_b_control,0.4194,rai_item_agreement_gap,0.5161,False,ISFJ,ESFP
ISFJ,ESFP,ISFJ_to_ESFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.828,rai_item_agreement_gap,-0.3871,False,ENFP,ESFP
ISFJ,ESFP,ISFJ_to_ESFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.687,0.663,0.024,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,0.0612,,,
ISFJ,ESFP,ISFJ_to_ESFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6384,0.6405,0.0021,scs_predicted_agreement_with_matched_b_control,0.3,mean_rai_margin_a_minus_target,-0.0601,,,
ISFJ,ESFP,ISFJ_to_ESFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.4594,rai_lexical_gap,0.0245,,,
ISFJ,ESFP,ISFJ_to_ESFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6,0.6667,0.0667,scs_lexical_similarity_to_matched_b_control,0.4611,rai_lexical_gap,-0.0658,,,
ISFJ,INFJ,ISFJ_to_INFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.7312,rai_item_agreement_gap,0.2151,False,ISFJ,INFJ
ISFJ,INFJ,ISFJ_to_INFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8925,rai_item_agreement_gap,-0.1613,True,INFJ,INFJ
ISFJ,INFJ,ISFJ_to_INFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7306,0.7556,0.025,scs_predicted_agreement_with_matched_b_control,0.1333,mean_rai_margin_a_minus_target,0.0459,,,
ISFJ,INFJ,ISFJ_to_INFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7571,0.76,0.0029,scs_predicted_agreement_with_matched_b_control,0.3667,mean_rai_margin_a_minus_target,-0.0325,,,
ISFJ,INFJ,ISFJ_to_INFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.5075,rai_lexical_gap,-0.0291,,,
ISFJ,INFJ,ISFJ_to_INFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6333,0.6667,0.0334,scs_lexical_similarity_to_matched_b_control,0.4869,rai_lexical_gap,-0.0419,,,
ISFJ,ENFJ,ISFJ_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.5914,rai_item_agreement_gap,0.3441,False,ISFJ,ENFJ
ISFJ,ENFJ,ISFJ_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9032,rai_item_agreement_gap,-0.2366,True,ENFJ,ENFJ
ISFJ,ENFJ,ISFJ_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6953,0.771,0.0757,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,0.0569,,,
ISFJ,ENFJ,ISFJ_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7593,0.7657,0.0064,scs_predicted_agreement_with_matched_b_control,0.4667,mean_rai_margin_a_minus_target,-0.0622,,,
ISFJ,ENFJ,ISFJ_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6,0.0333,scs_lexical_similarity_to_matched_b_control,0.5149,rai_lexical_gap,-0.0304,,,
ISFJ,ENFJ,ISFJ_to_ENFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.4796,rai_lexical_gap,-0.055,,,
ISFJ,ENTJ,ISFJ_to_ENTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,0.75,0.5,scs_item_agreement_with_matched_b_control,0.5269,rai_item_agreement_gap,0.4194,False,ISFJ,ENTJ
ISFJ,ENTJ,ISFJ_to_ENTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,0.75,0.25,scs_item_agreement_with_matched_b_control,0.8602,rai_item_agreement_gap,-0.4086,True,ENTJ,ENTJ
ISFJ,ENTJ,ISFJ_to_ENTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6781,0.7413,0.0632,scs_predicted_agreement_with_matched_b_control,0.0667,mean_rai_margin_a_minus_target,0.0398,,,
ISFJ,ENTJ,ISFJ_to_ENTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6864,0.6829,0.0035,scs_predicted_agreement_with_matched_b_control,0.3667,mean_rai_margin_a_minus_target,-0.0755,,,
ISFJ,ENTJ,ISFJ_to_ENTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6,0.0667,scs_lexical_similarity_to_matched_b_control,0.5115,rai_lexical_gap,-0.0288,,,
ISFJ,ENTJ,ISFJ_to_ENTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6333,0.7333,0.1,scs_lexical_similarity_to_matched_b_control,0.5001,rai_lexical_gap,-0.0632,,,
ISFJ,ENTP,ISFJ_to_ENTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.0,1.0,1.0,scs_item_agreement_with_matched_b_control,0.2366,rai_item_agreement_gap,0.6882,False,ISFJ,ENTP
ISFJ,ENTP,ISFJ_to_ENTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.7849,rai_item_agreement_gap,-0.4194,False,ENTJ,ENTP
ISFJ,ENTP,ISFJ_to_ENTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.697,0.7165,0.0195,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,-0.0663,,,
ISFJ,ENTP,ISFJ_to_ENTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7052,0.7022,0.003,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,-0.0847,,,
ISFJ,ENTP,ISFJ_to_ENTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6,0.0,scs_lexical_similarity_to_matched_b_control,0.4963,rai_lexical_gap,-0.0392,,,
ISFJ,ENTP,ISFJ_to_ENTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6667,0.7,0.0333,scs_lexical_similarity_to_matched_b_control,0.4577,rai_lexical_gap,-0.0192,,,
ISFJ,ESTP,ISFJ_to_ESTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,0.75,0.5,scs_item_agreement_with_matched_b_control,0.3441,rai_item_agreement_gap,0.5914,False,ISFJ,ESTP
ISFJ,ESTP,ISFJ_to_ESTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8925,rai_item_agreement_gap,-0.5376,True,ESTP,ESTP
ISFJ,ESTP,ISFJ_to_ESTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6693,0.6872,0.0179,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,0.004,,,
ISFJ,ESTP,ISFJ_to_ESTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6275,0.6395,0.012,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,-0.0463,,,
ISFJ,ESTP,ISFJ_to_ESTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.7,0.6333,0.0667,scs_lexical_similarity_to_matched_b_control,0.4952,rai_lexical_gap,-0.0488,,,
ISFJ,ESTP,ISFJ_to_ESTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7667,0.0667,scs_lexical_similarity_to_matched_b_control,0.456,rai_lexical_gap,-0.0343,,,
ISFJ,ISTP,ISFJ_to_ISTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.6237,rai_item_agreement_gap,0.2903,False,ISFJ,ISTP
ISFJ,ISTP,ISFJ_to_ISTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.8925,rai_item_agreement_gap,-0.3333,False,ISTJ,ISTP
ISFJ,ISTP,ISFJ_to_ISTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6983,0.6857,0.0126,scs_predicted_agreement_with_matched_b_control,0.1333,mean_rai_margin_a_minus_target,0.0534,,,
ISFJ,ISTP,ISFJ_to_ISTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6946,0.6581,0.0365,scs_predicted_agreement_with_matched_b_control,0.2333,mean_rai_margin_a_minus_target,-0.0567,,,
ISFJ,ISTP,ISFJ_to_ISTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6667,0.0,scs_lexical_similarity_to_matched_b_control,0.582,rai_lexical_gap,-0.0856,,,
ISFJ,ISTP,ISFJ_to_ISTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7667,0.7,0.0667,scs_lexical_similarity_to_matched_b_control,0.5029,rai_lexical_gap,-0.0531,,,
ISFJ,ISFP,ISFJ_to_ISFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.6129,rai_item_agreement_gap,0.3226,False,ISFJ,ISFP
ISFJ,ISFP,ISFJ_to_ISFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.828,rai_item_agreement_gap,-0.0323,False,ISFJ,ISFP
ISFJ,ISFP,ISFJ_to_ISFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7173,0.746,0.0287,scs_predicted_agreement_with_matched_b_control,0.2,mean_rai_margin_a_minus_target,0.0468,,,
ISFJ,ISFP,ISFJ_to_ISFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6767,0.7373,0.0606,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,-0.033,,,
ISFJ,ISFP,ISFJ_to_ISFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6667,0.0667,scs_lexical_similarity_to_matched_b_control,0.5117,rai_lexical_gap,-0.0401,,,
ISFJ,ISFP,ISFJ_to_ISFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.7,0.0,scs_lexical_similarity_to_matched_b_control,0.4709,rai_lexical_gap,0.0001,,,
ISFJ,ENFP,ISFJ_to_ENFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,1.0,0.75,scs_item_agreement_with_matched_b_control,0.3656,rai_item_agreement_gap,0.5591,False,ISFJ,ENFP
ISFJ,ENFP,ISFJ_to_ENFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.828,rai_item_agreement_gap,-0.3548,False,ENFJ,ENFP
ISFJ,ENFP,ISFJ_to_ENFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6725,0.6953,0.0228,scs_predicted_agreement_with_matched_b_control,0.2667,mean_rai_margin_a_minus_target,0.0176,,,
ISFJ,ENFP,ISFJ_to_ENFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6681,0.6762,0.0081,scs_predicted_agreement_with_matched_b_control,0.3,mean_rai_margin_a_minus_target,-0.0767,,,
ISFJ,ENFP,ISFJ_to_ENFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6667,0.0667,scs_lexical_similarity_to_matched_b_control,0.5064,rai_lexical_gap,-0.0372,,,
ISFJ,ENFP,ISFJ_to_ENFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7333,0.7333,0.0,scs_lexical_similarity_to_matched_b_control,0.4317,rai_lexical_gap,-0.0518,,,
ISFJ,ISTJ,ISFJ_to_ISTJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.8065,rai_item_agreement_gap,0.0968,False,ISFJ,ISTJ
ISFJ,ISTJ,ISFJ_to_ISTJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9462,rai_item_agreement_gap,-0.2258,True,ISTJ,ISTJ
ISFJ,ISTJ,ISFJ_to_ISTJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7507,0.7932,0.0425,scs_predicted_agreement_with_matched_b_control,0.2,mean_rai_margin_a_minus_target,0.0166,,,
ISFJ,ISTJ,ISFJ_to_ISTJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7432,0.7541,0.0109,scs_predicted_agreement_with_matched_b_control,0.4333,mean_rai_margin_a_minus_target,-0.0416,,,
ISFJ,ISTJ,ISFJ_to_ISTJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.5333,0.6,0.0667,scs_lexical_similarity_to_matched_b_control,0.5246,rai_lexical_gap,-0.0528,,,
ISFJ,ISTJ,ISFJ_to_ISTJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7333,0.7,0.0333,scs_lexical_similarity_to_matched_b_control,0.471,rai_lexical_gap,-0.0169,,,
ISFJ,INTP,ISFJ_to_INTP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.25,0.75,0.5,scs_item_agreement_with_matched_b_control,0.5269,rai_item_agreement_gap,0.3978,False,ISFJ,INTP
ISFJ,INTP,ISFJ_to_INTP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,0.75,0.0,scs_item_agreement_with_matched_b_control,0.8495,rai_item_agreement_gap,-0.2903,False,INTJ,INTP
ISFJ,INTP,ISFJ_to_INTP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7202,0.7412,0.021,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,0.0034,,,
ISFJ,INTP,ISFJ_to_INTP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7387,0.7356,0.0031,scs_predicted_agreement_with_matched_b_control,0.3,mean_rai_margin_a_minus_target,-0.092,,,
ISFJ,INTP,ISFJ_to_INTP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6333,0.0333,scs_lexical_similarity_to_matched_b_control,0.5285,rai_lexical_gap,-0.0482,,,
ISFJ,INTP,ISFJ_to_INTP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6333,0.0667,scs_lexical_similarity_to_matched_b_control,0.5065,rai_lexical_gap,-0.0377,,,
ISFJ,INFP,ISFJ_to_INFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.5914,rai_item_agreement_gap,0.3548,False,ISFJ,INFP
ISFJ,INFP,ISFJ_to_INFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.8602,rai_item_agreement_gap,-0.2043,False,INFJ,INFP
ISFJ,INFP,ISFJ_to_INFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.7005,0.743,0.0425,scs_predicted_agreement_with_matched_b_control,0.1667,mean_rai_margin_a_minus_target,0.0493,,,
ISFJ,INFP,ISFJ_to_INFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7214,0.7241,0.0027,scs_predicted_agreement_with_matched_b_control,0.4667,mean_rai_margin_a_minus_target,-0.0539,,,
ISFJ,INFP,ISFJ_to_INFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6667,0.0334,scs_lexical_similarity_to_matched_b_control,0.5012,rai_lexical_gap,-0.0163,,,
ISFJ,INFP,ISFJ_to_INFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.4576,rai_lexical_gap,-0.0424,,,
